,train_static,test_static,train_temporal,test_temporal
0,0.8473912542711253,0.5511183673469388,0.8128602690740365,0.786808163265306
1,0.8085438959244003,0.47436734693877547,0.8334329700705867,0.7382204081632652
2,0.8107925782514026,0.4984979591836735,0.8267719342507227,0.7420408163265306
3,0.8396305579474468,0.5046367346938776,0.8647170773711259,0.7921632653061226
4,0.8085164729691932,0.504865306122449,0.838884653565807,0.8253714285714285
5,0.8340088521299409,0.5284897959183673,0.852579677396355,0.2544
6,0.8361423580450724,0.5254857142857143,0.8346066725534611,0.7804734693877552
7,0.8273395894235146,0.5594775510204082,0.8456553812065004,0.2029387755102041
8,0.8459213838720117,0.4945795918367347,0.8202315594337707,0.7987918367346939
9,0.839306967076,0.5269551020408163,0.8557552556093655,0.8260571428571428
10,0.8064597513286422,0.5734204081632652,0.8444240905176905,0.6274612244897959
11,0.8138420108704595,0.4972244897959184,0.8573430447158708,0.7929469387755101
12,0.8500951576545696,0.5299918367346939,0.7960116053946437,0.8000979591836734
13,0.8357145599438377,0.5433142857142857,0.8479890746946452,0.24715102040816328
14,0.8531939515929994,0.5198857142857143,0.8749787472097144,0.7785469387755101
15,0.8042494611389304,0.5006530612244898,0.8094323996731184,0.6140408163265306
16,0.8286284683182598,0.5555918367346938,0.8259903800273132,0.5975510204081633
17,0.8651997213827751,0.5671183673469388,0.8434533179033505,0.8358204081632653
18,0.8086974644735615,0.4817469387755102,0.8592983014221545,0.78785306122449
19,0.8159864859676738,0.48132244897959187,0.8131482101037135,0.6521142857142856
20,0.8381606875483328,0.5434775510204082,0.8405519692424134,0.7820408163265306
21,0.8131454678081929,0.6079346938775511,0.8816315561430162,0.508734693877551
22,0.8164197686599499,0.5326530612244899,0.7368712601944836,0.8012081632653061
23,0.853983732702971,0.5298285714285714,0.8663679392746079,0.5946775510204081
24,0.8256229124275347,0.5295020408163266,0.8176044403249071,0.7351183673469389
25,0.8084396886946126,0.5396244897959184,0.7714406375288626,0.8090122448979593
26,0.8315572399344043,0.564930612244898,0.8420108704594442,0.8231836734693878
27,0.816035847287047,0.4529959183673469,0.8529581141782163,0.7641142857142857
28,0.7857334817829309,0.5194775510204082,0.7455314294489631,0.7994775510204081
29,0.8287765522763795,0.5621224489795918,0.8719018916354502,0.7801469387755102
30,0.8234619835571959,0.5094204081632653,0.846453389203034,0.7915102040816328
31,0.7521787537912236,0.4965224489795918,0.7942291133061663,0.3984979591836735
32,0.8291275661030335,0.5674448979591837,0.8215423766926819,0.8197551020408163
33,0.8535833575569438,0.5797224489795919,0.8509836614032875,0.7542857142857142
34,0.8412704506688458,0.5689469387755102,0.8842093139325067,0.8389877551020408
35,0.8207416264006274,0.5385469387755102,0.80984922859227,0.475004081632653
36,0.8348644483324101,0.5601306122448979,0.8504242331170575,0.819330612244898
37,0.824174980392587,0.5754122448979592,0.8484168727958799,0.4297142857142857
38,0.8275699422472563,0.5331265306122449,0.8521299409309545,0.7368489795918367
39,0.8428938896171208,0.6122775510204082,0.8338552835807798,0.7192489795918369
40,0.8409523443884407,0.5640163265306122,0.8235442524228181,0.2851591836734694
41,0.819216910091099,0.5585632653061224,0.8266978922716628,0.8041469387755102
42,0.8480932819244332,0.5079673469387755,0.8059880764990759,0.7431183673469388
43,0.8284365076318083,0.47131428571428574,0.8542195701177541,0.7876244897959185
44,0.8037832709004054,0.5617959183673469,0.873256585622693,0.17528163265306124
45,0.8324457436831223,0.5244081632653061,0.7957977063440265,0.7710040816326531
